video_id,title,views,likes,comments,publish_date,publish_time,duration_seconds
uPNBJuUF8cc,سورة الفتح  صوت خاشع وعظمة الخشوع  'محمد رسول الله والذين امنو معه اشداء على الكفار رحماء بينهم ',10,1,0,2024-05-15,05:22:49,660
96A17XRzrnE,سورة محمد ايات محكمات من الذكر الحكيم واحب السور لقلبي زدنا الله بها ايمانا واجرا استمعو رحمكم الله,8,1,0,2024-05-13,18:21:06,670
chWrUQvqT_I,سورة الأحقاف قراءة خاشعة ومرتلة يحن اليها القلب والروح وتدب في النفس الهدوء وتزيل القلق,4,2,0,2024-03-19,06:11:55,1008
GL9zvT-leLg,سورة الجاثية كاملة  تلاوة عطرة وجميلة تدب في النفس الطمأنينة وتحذر من كثرة السيئات وترعب الكافرين,3,1,0,2024-03-13,21:58:10,718
AVk1Wvy2gUs,سورة الدخان تلاوة رائعة مبدعة تدخل الطمأنينة للقلب وتزيل الهموم وترفع الدرجات وفيها اجر للمستمع,7,1,0,2024-03-10,19:25:53,572
ggSNLx6jSjc,سورة البقره  شهر رمضان الذي  أنزل فيه القران,10,3,0,2024-03-10,19:17:51,53
MMjvmLY82nE,سورة الزخرف ترتيل عتيق لايات الله فيها شفاء لما في الصدور وهدى ورحمة لقوم يؤمنون,10,1,0,2024-03-05,17:18:03,1009
PWRJ69lnWDo,سورة الشورى كاملة  تلاوة طيبة  بصوت ملائكي يخطف الاذان ويزيل الحزن والقلق,14,1,0,2024-03-03,20:45:22,1151
UZ3SdbGM6Dc,سورة فصلت تلاوة مبهرة تثلج القلب وتريح النفس وتزيل الهم وتمحي الحزن,5,1,0,2024-02-28,21:48:28,1073
2tMP8lHDjd0,سورة غافر المقطع الذي بحث عنه الجميع وابكى الملايين! تلاوة تقشعر منها الابدان وتخشع لها القلوب,10,2,0,2024-02-20,19:57:09,1433
NbBQdw19ENk,سورة الزمر تلاوة للاسترخاء الروحي والنفسي تأخدك الى عالم مطمئن وتبعد عنك كل القلق والتفكير الزائد,8,3,0,2024-02-18,21:47:54,1536
Eiw7aw2ZMtE,سورة ص مكتوبة اجود تلاوة يرتاح لها القلب ويطمئن لها البال جعلها الله في ميزان حسناتنا وحسناتكم,76,2,0,2024-02-11,18:17:46,747
gapWMbhhm70,سورة الصافات تلاوة خاشعة تريح ضميرك ومعذبة للجن والشياطين ومقوية للروح والنفس,249,6,0,2024-02-08,20:58:08,1294
NdwuH71xR3k,سورة يس قلب القرآن ولب التلاوة الخاشعة لعظمة الحنجرة الذهبية ستجعلك مطمئنا وتزيل عنك كل هم وحزن,1718,19,0,2024-02-07,20:37:46,2113
Lwrzr0zo0oI,سورة فاطر تجويد مميز يزيد حبك للاستماع للقران الكريم ولذكر الله ويغرس بذرة الخشوع فقلبك,149,2,0,2024-02-03,23:46:48,861
cxVKDCyytWw,سورة سبأ قراءة خاشعة ومريحة للاعصاب تأخدك الى اعماق القصص في القرآن الكريم لمن يبحث عن طمأنينة القلب,280,4,0,2024-01-27,22:41:19,1009
kAkZNdedQc8,سورة الاحزاب تلاوة ستنقلك لعالم اخر من جودة الخشوع الموجود فيها وستأخدك الى طريق الطمأنينة النفسية,139,2,0,2024-01-22,16:53:31,1820
DB36lnVVeuY,سورة السجدة اسمع بقلبك حلاوة العمل ولذة القرب من الله وتمعن في عظمة السجود لله عز وجل في هذه السورة,210,4,0,2024-01-20,20:25:44,608
YWI4uY8aSbA,سورة لقمان تلاوة مؤثرة مضمونها وصايا لقمان لابنه سموا بالاخلاق والتربية الصالحة وتزكية النفس,249,8,0,2024-01-17,20:29:27,798
t83X7Zmm1zU,سورة الروم تجويد فخم يروي قصة الروم والعبر لكل الابصار فاستنشق عبيق الذكر الحكيم,139,5,0,2024-01-12,23:18:17,1231
8zuT_UEKvSk,سورة العنكبوت تلاوة عظيمة تنتشلك من ظلمات الحياة وتفتح بصيرتك نورا ويضرب الله الامثال للناس,295,6,0,2024-01-08,10:34:58,1221
eUEilphQPVI,سورة القصص تلاوة نادرة وجميلة جدا تقشعر لها الابدان والفؤاد والقلب من اجمل ما سمعنا من ايات بينات,308,7,0,2023-12-23,21:28:36,1226
BjYsX2YBQnE,سورة النمل من أروع السور بتلاوة طيبة تطمئن القلب وتهدئ الاعصاب وتزيل الهموم ثبتنا الله واياكم,1126,10,0,2023-12-20,11:12:33,1522
HwUrKZq4bY4,سورة الشعراء تلاوة عطرة مبكية تزداد بها القلوب ايمانا,845,11,4,2023-12-03,20:31:39,1456
Nt-9a8x1ZcI,سورة الفرقان كاملة  تلاوة هادئة تريح القلب وتضئ جنبات الروح وتزيل ظلمة الهم,26,1,0,2023-10-07,16:48:59,2932
K_O2mynHx_4,سورة النور تلاوة جميلة هداية للنفس وسكينة للقب وطمأنينة للبال لمن يعاني من الهم والقلق,19,2,0,2023-10-06,07:42:46,1372
PUIKxhRp81k,سورة المؤمنون تلاوة طاهرة تزيح عنك الهموم وتهدأ البال وتروي عطش الروح اللهم اجعلنا من زمرة المؤمنين,20,2,0,2023-10-05,06:06:46,1608
VUjcaZYma2M,سورة الحج تلاوة هادئة تخشع لسماعها القلوب وتدبر لفهمها العقول انصتو رحمكم الله,18,2,0,2023-09-22,02:52:45,1562
ww9zMEfRL6U,سورة الأنبياء كاملة مرتلة خفيفة على القلب ومليئة بالعبر وهدى ورحمة لقوم يعقلون surat al'anbia',26,3,0,2023-09-10,00:12:48,1539
6SXs4OKuucM,سورة طه تلاوة خاشعة تصدع القلب فيطمئن ويخشع  اللهم اجعل هذه الايات مفتاحا لكل قلب مقفول,45,2,1,2023-09-02,02:55:20,1500
JFbNGWzGsYo,سورة مريم بتلاوة خاشعة للتدبر لمن يبحث عن السكينة والرحمة وهداية من الله الى الصراط المستقيم,189,4,0,2023-08-20,22:54:46,1106
f4ApDnSWXvk,سورة الكهف تلاوة جميلة وفضل هذه السورة يوم الجمعة عظيم ومنجية من شر الفتن نفعنا بها الله واياكم,126,3,0,2023-08-19,19:57:03,1636
I-rzwCNaBd4,سورة الاسراء ايات بينات وتلاوة نادرة تنسيك كثرة التفكير وتسكن البال جعلها الله حسنات لنا جميعا,173,2,0,2023-07-14,21:12:06,1890
JGZoXIKVSRs,سورة النحل ترتيل من عالم اخر صوت نفضنا عنه الغبار فوجدناه ذهبا يزيل ظمأ الروح ويمحو الكآبة,79,2,0,2023-06-05,22:19:03,3502
WQhvJgvJQjk,سورة الحجر ايات من الذكر الحكيم لتزكية النفس وطمأنينة القلب وتهدئة البال جعلها الله رحمة لنا و لكم,142,3,0,2023-06-04,23:00:11,1031
OWq3W0VrHbk,لابد من من مراجعة النفس وتذكر الموت,1269,158,0,2023-05-23,21:42:32,12
Q5oYY-DddgY,سبحان الله وبحمده سبحان لله العظيم,1170,118,0,2023-05-12,22:11:18,23
AKpPd7gw-Sc,عيد مبارك سعيد وكل عام وانتم بخير اللهم تقبل اعمالنا واعمالكم,52,12,1,2023-04-22,10:02:38,17
F5nZ9pAA4As,ثقو فالله سبحانه وتعالى والدنيا مكاتب واقدار لن ترى الا ماكتبه الله لك,60,16,0,2023-04-19,21:48:06,27
xu4ogH_Q4Gg,اللهم اهدنا الصراط المستقيم واغفر لنا ذنوبنا جميعها,62,19,2,2023-04-18,04:48:39,39
uJJ6VEcApuo,لا تيأس فالارزاق بيد الله,177,41,3,2023-04-11,02:33:35,24
qFKpGHOOErU,سورة ابراهيم ماتيسر من الذكر الحكيم صوت هادئ يريح النفس ويزيل الاعصاب للتأمل والتدبر,289,4,2,2023-04-08,15:36:01,962
JPHdo9eXBCw,تدبر في معاني القران الكريم,89,13,0,2023-04-07,20:32:11,39
F57zoh49nLE,لا حول ولا قوة الا بالله,218,43,0,2023-04-06,20:14:22,25
h4dYMXSLKSg,سورد الرعد تلاوة عطرة خفيفة على القلب مريحة للاعصاب معدلة للمزاج مفرجة للهم والغم بصوت ملائكي,260,5,0,2023-04-06,14:32:21,895
_zp_EekpUZ4,سورة يوسف تلاوة عذبة كانها من الجنة طمئنينة للقلب وتزكية للنفس والوصول لاعلى درجات الخشوع,1064,23,0,2023-04-05,09:56:41,2198
NzKTrfANhBQ,خشوع لايوصف في هذه الايات اللهم اجعلها نورا لابصاركم,72,7,0,2023-04-05,06:02:08,61
tXANRjvOowk,سورة هود كما لم تسمعها من قبل خشوع لا يوصف ونور ينير جنبات قلبك نفعنا الله واياكم بها,216,3,0,2023-04-04,05:16:29,2412
IKoEFL2KPzA,فصبر جميل والله المستعان ❤️,117,0,0,2023-04-03,21:00:59,20
SKvlU9641-0,سورة يونس بتلاوة عطرة تنقلك من التوتر الى الراحة ومن اليأس الى السعادة اللهم قوي بيها الايمان,662,8,0,2023-04-03,06:50:22,1888
WraeuGCuSiE,اللهم انا نعوذ بك من عذاب جهنم,30,6,4,2023-04-02,18:33:08,12
aWLHHmutbX8,سورة التوبة بصوت خاشع يزيد الراحة ويقلص الكاابة ويحثك على ترك المعاصي وزيادة الايمان في قلبك,913,17,0,2023-04-01,15:40:20,2460
3eX_jAaHCOs,تذكير للمؤمنين,39,4,0,2023-04-01,06:22:45,23
jiFLiLYnIcA,ماشاء الله خالق كل شيء,1268,150,0,2023-03-31,16:18:14,15
CH-NilDN_yc,سورة الأنفال  تلاوة خاشعة لتصفية الاذهان ونسيان الهموم والتقرب الى الله جعلها الله في ميزان الحسنات,254,6,2,2023-03-30,22:00:22,1315
FPbD3VcI3_s,لا تقنط فقط كن ايجابيا,83,14,0,2023-03-30,17:07:05,29
HkyNoghojxA,ارح قلبك بالقرآن وذكر الله,1254,122,2,2023-03-30,06:36:23,14
VsSmctBCPNY,سورة الأعراف بصوت خاشع يذيب القلب  ويبكي العين ويريح الروح نفعنا الله واياكم باجر الانصات له,186,2,0,2023-03-30,05:15:11,5124
vvLSBchzRj0,سورة الأنعام مكتوبة رحمة من الله لتهدئة القلوب وراحة نفسية تنسيك هموم الدنيا وتريح ضميرك,294,6,0,2023-03-29,01:58:39,4352
NYXpre8nb6E,سورة النساء تلاوة خاشعة روحانية تاملية علمية نفعنا بها الله واياكم وجميع المسلمين,469,5,0,2023-03-27,21:40:12,3141
ETmGxKJjmOg,سورة ال عمران مكتوبة تامل لمعاني كلام الله في خلقه وراحة نفسية تنسيك كل الهموم,221,3,0,2023-03-26,20:47:03,4346
Ofn2rAombD0,سورة المائدة تدبر لاايات الله فالكون واسترخاء روحاني وجداني ينقلك لعالم خالي من الهموم بتلاوة خاشعة,132,4,1,2023-03-26,01:46:42,3095
ch3l9bDVeNE,سورة البقرة بصوت ملائكي وعذب تذهب الهم والحزن وتطمئن القلب وتهذب الروح وتطرد الشياطين وكل حرف بحسنة,649,10,0,2023-03-25,03:55:06,7251
0QA5X84nKVE,بث مباشر من قِبل MED WLDNAS,0,0,0,2023-03-24,21:29:04,0
rOUTGTUOkYw,افتر لايف 💯 تقديم لعبة السورفايف الواقعية مهمة القضاء على الاينفايكتد 😷 تابعونا واشتركو القناة ...,45,5,4,2022-02-10,19:56:33,1034
wR-d7byAK0M,فري فاير 💯 اعلان خاص من الشركة لاصحاب الاحتراف وللجميع بطولات على 10000$ 🔥 شرح البطولة كامل بالدارجة,517,51,15,2021-08-16,22:50:21,124
allgAzhUfLE,فري فاير 💯 استعراض حسابي TROUBLE للبيع ✌ اغلى كريمنال 🌶 وسكنات نادرة واسلحة نار اسطورية بسعر رخيص 🔥,315,49,26,2021-08-10,16:33:31,1109
syoD4_dYZII,MADNESS SHOT . TROUBLE TRANSFER SERVER MENA BRASIL SUPPORT MAX SAMBA FRIFRA فري فاير 💯 عش المتعة 🔥,173,38,14,2021-08-01,02:23:10,190
0cDqZAT1OXs,INSPIRATION MODE 2 ACOUNT WITH REDMI10 W9+***? BY TROUBLE 😱فري فاير 💯 سرعة حركة الهيد ومتعة لاتقاوم,134,33,14,2021-07-27,19:25:58,127
wCoRTfFq9-M,فري فاير ماكس 💯 حل مشكل تحرك اللاعب🔧 وكيف ترجع صوت الاسلحة كيفما ولفتها ⚙ بشكل سهل وبسيط مع تروبل 🔥,26664,904,42,2021-06-15,16:54:59,314
fCL8UluAaIU,عندما يكون شعار الكلان لا شيء سوى الاحمر استمتعو ببعض لقطات الاعضاء TROUBLES ONLY REDSHOTENJOY IT 🔥,237,44,14,2021-06-09,21:00:46,293
LNl6PKg8KoU,فري فاير 💯 كارثة الشوتغان😈 جلد وتفجير الجماجم بالهاند كام مع تروبل👑MAX SPACEGUN ART REDSHOT FREEFIRE,205,45,16,2021-06-07,06:15:07,214
iAL7MPBrc9g,فري فاير 💯 ستمل من الطلق الاحمر بنسر الصحراء 😍 طريقة محتكرة  🔥 اسلوب الوان طاب في المسافات القريبة 😈,123,25,5,2021-06-03,01:02:02,337
ciKXVI-UtrI,استمع لموسيقى ريوك واستمتع بلعب فري فاير🔥 Best  songs ruok used for montage or listening when u play,103,19,13,2021-05-26,11:51:40,2147
Up3j8I6jMl8,فري فاير 💯 مقلب فصل النت لامزاح مع ادم شوكولاطة 😅 شنو تتوقعو حصل شاهد للاخير 👑,89,21,10,2021-05-25,03:19:17,542
ytFb7kY0JLk,فري فاير 💯 حصريا ولاول مرة اقوى حساب فالشرق الاوسط للبيع💰بثمن همزة🔥رقم الهاتف للتواصل +212644677315,163,28,16,2021-05-21,12:06:41,279
WlIzSiJs2J0,شرح سلسلة فري فاير العالمية 2021 💯 لا تضيع فرصة حدث كن البطل  🔥 كل جوائز الحدث بين يديك 👑 💎,835,55,39,2021-05-16,15:49:28,333
zYkEv61Vrl0,فري فاير 💯لهواتف سامسونج اعدادات 🤯 هتمل من ال ONE SHOT😉 سر جديد لن يخبرك بيه أحد غيرى🔥تابع للاخير 💎,159,20,14,2021-05-13,23:34:37,519
Ze3_Sn3C2x8,سر الهيدشوت التلقائي فى فري فاير 😳 ستمل من الوان شوت 🙄 🔥 تطبيق محتكر 🔥 لن تكون نوب بعد الان 🤯 2021,249,27,12,2021-05-12,08:31:31,498
V1rp8d0r-30,شوف كيف تشحن 530 جوهره كل ساعة 🤯 خدعة ذكيه هتندم اذا فوتها 😭😉 تابع للاخير 🔥 بالتجربة شحنت الجواهر 💯,201,23,31,2021-05-10,10:54:57,637
q47NEd4-8ac,فري فاير 💯 مستحيل تموت في التدريب بعد هادي الخدعة الرهيبة 🤫 خد وقتك وطور مهاراتك غلتش الخلود 🔥,138,19,15,2021-05-08,01:34:17,510
R-QGy6clS_k,شوف كيف حصلت على الشتقن الجديد المتطور نصبو عليا😡!😈 ثغرة تقوية الحظ لا يعرفها الكثير 😳 الحق نفسك...!,103,13,9,2021-05-06,10:06:56,418
Kngzy7cIOvA,اعدادات سرعة جهنمية في وضع الثلج كالحاسوب🔥اقوى ماكرو الثلج للهاتف في تاريخ اللعبة👑سارع قبل الانتهاء💯,419,38,13,2021-05-04,04:25:53,504
eqLAN-NeID8,اسهل طريقة لشحن جواهر فري فاير بطريقة مضاعفة 💎بدون تعب💰ثغرة جهنمية جديدة🔥😈اشحن الفاير باس ف 12 دقيقة,114,14,9,2021-05-03,04:52:10,755
DAnBGGPwZRI,كن الاول ماكرو الهيدشوت التلقائي فري فاير 😱 لأجهزة شاومى 😳 والله هتمل من الهيدشوت 🙄😈 بدون باند...!!,74,11,10,2021-05-02,06:38:36,625
H0znvkqOXRc,حصريا الحصول على اي اسكن جاز ب 5 جواهر فقط 😱 خدعة جديده وثغره رهيبه 😈😉كيف تحصل على اسكن الجاز مجانا💯,674,45,18,2021-05-01,08:16:22,583
S2CfR8537qk,فري فاير 💯 اقوى تطورات اللعبة  ملخص لعبة فري فاير ستنصدم من الفرق 🔥  2017/2021 EVOLUTION FREE FIRE,64,15,9,2021-04-19,00:49:40,676
_gbPvz2S3T0,فري فاير 💯 وحش الجلد TROUBLE بنكهة البرق 10 كيل في دقيقتين غايم بلاي رانكد⚡🔥 FreeFire Fast Kill Rank,104,23,12,2021-04-10,09:43:42,203
wbZ7PSq8Q_0,فري فاير 💯 دعوة الى اقوى كلان على مستوى الشرق الاوسط (شروط الكلان + بطولات + جوائز) فرصتكم للاحتراف💪,361,54,39,2021-04-02,22:54:42,432
roopZsV5zBk,فري فاير 💯 عدنا من جديد خدعة حدث استرداد الجواهر 🔥 شرح مبسط للحدث وطريقة الاسترداد 🤯الكثير ينتظركم🤩,79,20,8,2021-03-11,06:16:50,304
risNKrkR4jo,فري فاير 💯 شرح حدث اطلق واربح 👑 اسهل طريقة لتضمن السكن كامل 🔥 سكن العداء المثير باقل جواهر 🤩,299,62,24,2020-11-05,17:13:46,278
lFksxLURcD4,فري فاير 💯 شرح حدث هيا بوياه 🤔 توج نفسك بملك البوياه 👑 واربح كل الجوائز بسرعة 🔥 اضمن كل شيء الان,139,28,12,2020-10-18,06:14:19,416
RMR8-0Lg_zw,فري فاير 💯 شرح حدث تسلق واربح 😱 الحصول على السكن البرازيلي الناذر بشكل مجاني وبأسرع طريقة مضمونة🔥,614,74,15,2020-10-09,03:07:14,193
A2JYh5rYx-4,فري فاير 💯 WHITE444 يحطم ثاني لاعب برازيلي VINI في مواجهة طاحنة 🔥 جنون الهيد شوت بجودة عالية 🤩,165,47,13,2020-10-06,17:20:07,1384
-2mg27JDR5U,فري فاير 💯  اريد ترك اللعبة وابيع حسابي انه فرصة نادرة لمن يحب ان يشتري🔥فرصة ومناسبة ب150دولار🔝,234,39,10,2020-09-29,02:13:27,274
KNBx2IjAxtA,فري فاير 💯 البطولة العربية الموسم الرابع 🔥 اجمع سكوادك واضمن التسجيل بالطريقة الصحيحة ⭐ بالتوفيق 💲,777,90,31,2020-09-14,07:47:06,433
52cJKuhix1s,فري فاير 💯 شرح حدث السرقة 🤔 انتبه لخطة البروفيسور واربح كل الجوائز من طابعة الاموال🔥,248,50,16,2020-09-12,04:02:00,375
cQUuMci7Voo,فري فاير 💯 شرح حدث ارقصها الان 🔥 طريقة مضمونة للحصول على رقصة الكلب وكل الرقصات الثانية بالحدث 🤩,1965,144,40,2020-09-07,13:45:42,388
U6CmQ6qu5tI,فري فاير 💯 استعراض حسابي TROUBLE للبيع ✌كريمنال اسطوري وسكنات نادرة بالشرق اوسط بسعر 400 دولار🔥,544,93,23,2020-09-04,17:14:10,1267
400cgJ4Kvxc,فري فاير 💯 شرح حدث حرب الابطال 🔥 طريقة الاشتراك بالحدث + الجوائز الخاصة بالحدث 🤩 اجتهد واربح 🤔,208,39,25,2020-08-28,15:15:30,409
-ad_LSF6870,فري فاير 💯 شرح حدث صانع الوقت ⛔ الجوائز الدائمة والمجانية المخفية في صفحة الويب فري فاير ✌,957,97,27,2020-08-18,00:51:22,270
0ZahYQOe8KE,فري فاير 💯 شرح حدث الذكرى السنوية الثالتة ✌كيفية الحصول على جوائز الحدث + مهمات الشخصيات 🤔,1099,131,40,2020-08-13,05:29:38,502
kyh2-QoNjm8,فري فاير 💯 هنيئا كلان تروبلز على المليون غلوري🔥 ودعوة للناجون للانضمام للكلان 🤩 مع شروط خاصة ✌,4108,360,136,2020-08-11,14:04:57,317
jBeVKyHXp2U,فري فاير 💯 طريقة التسجيل في البطولة العربية الموسم الخامس + شروط التسجيل 😍 عرض التسجيل محدود ⛔,706,89,38,2020-08-05,00:35:58,331
rx1nL36tIxE,فري فاير 💯 هيرو وجمال بالشراكة🎭 تسريب البطولة العربية القادمة🤩 حل مشكل العجلة🔥اعلان عن الفائز 😍,179,45,65,2020-08-01,20:16:28,368
TwODTVOM8U0,فري فاير 💯 عيد مبارك سعيد للكل ❤ احبكم في الله 🥰 مسابقة على اكونط ليفل 73 للمشاركين بالقناة 🔥,186,40,55,2020-07-31,10:11:56,582
5OUa8lJdszE,فري فاير 💯 شرح حدث عجلة العيد 🤔 وطريقة الحصول على شخصية لاعب كرة القدم داكوتا الجديدة ‼🔥LA CASA🔥,2015,181,29,2020-07-29,16:16:06,232
28YiLmrfT_w,فري فاير 💯 الكشف عن الستار وشرح التحديث الجديد وسر خريطة برمودا هل شركة غارينا فالطريق الصحيح 🤔!؟!,225,57,24,2020-07-29,10:36:08,1283
R8Ip2dbsGwM,فري فاير 💯 حل مشكلة الدخول للرانكد والرومات 🔧 وداعا لمهلة خادم اللعبة (MM_7) ⚙ حل نهائي وبسيط 🔥,32284,1598,256,2020-07-24,12:04:04,372
3LL-L-sHAVw,فري فاير 💯 شرح حدث قوة الانتقام ‼ الطريقة الصحيحة للحصول على التوكن الخاص بالحدث 🤩,360,70,43,2020-07-21,06:24:59,289
